"","lead","exclude"
"1",0,FALSE
"2",0,FALSE
"3",0,FALSE
"4",0,FALSE
"5",0,FALSE
"6",0,FALSE
"7",0,FALSE
"8",0,FALSE
"9",0,FALSE
"10",0,FALSE
"11",0,FALSE
"12",0,FALSE
"13",0,FALSE
"14",1,FALSE
"15",1,FALSE
"16",1,FALSE
"17",1,FALSE
"18",2,FALSE
"19",2,FALSE
"20",2,FALSE
"21",2,FALSE
"22",2,FALSE
"23",2,FALSE
"24",2,FALSE
"25",2,FALSE
"26",2,FALSE
"27",2,FALSE
"28",2,FALSE
"29",3,FALSE
"30",3,FALSE
"31",3,FALSE
"32",3,FALSE
"33",3,FALSE
"34",3,FALSE
"35",3,FALSE
"36",3,FALSE
"37",3,FALSE
"38",3,FALSE
"39",3,FALSE
"40",4,FALSE
"41",4,FALSE
"42",5,FALSE
"43",5,FALSE
"44",5,FALSE
"45",5,FALSE
"46",5,FALSE
"47",5,FALSE
"48",5,FALSE
"49",5,FALSE
"50",6,FALSE
"51",6,FALSE
"52",6,FALSE
"53",6,FALSE
"54",7,FALSE
"55",7,FALSE
"56",7,FALSE
"57",8,FALSE
"58",8,FALSE
"59",9,FALSE
"60",10,FALSE
"61",10,FALSE
"62",11,FALSE
"63",13,FALSE
"64",18,FALSE
"65",20,TRUE
"66",21,FALSE
"67",22,FALSE
"68",29,FALSE
"69",43,FALSE
"70",43,FALSE
"71",104,TRUE
